Model,Features,AUC,ALIFT
Enhanced LightGBM,Base + Duration Probs,0.796423439723583,2.211363462175611
Enhanced (Real),,0.796423439723583,2.211363462175611
Oracle (Perfect),,0.8733227530351695,2.4409711427504814
