Model,Best_CV_AUC,Train_AUC,Overfitting_Gap,Time_Minutes
Random Forest,0.7828147472930954,0.9479213303811349,0.1651065830880395,2.7806983391443887
XGBoost,0.780089948401737,0.7826515591851154,0.002561610783378465,0.45546251932779946
Naive Bayes,0.760348100896507,0.7605906100356505,0.0002425091391435874,0.03226473331451416
Decision Tree (J48),0.7574978262760645,0.786217325352155,0.028719499076090504,0.1579188068707784
Logistic Regression,0.7536077893734336,0.7548981914808717,0.0012904021074380267,0.05060379107793172
